time (days),flux (ppm),flux err (ppm)
0.0717580618055561,945040.4407320949,36.395766103691656
0.07334108541666723,944708.9069251703,36.395766103691656
0.07492410902777834,944380.7175106299,36.395766103691656
0.07650713263888946,944053.836209486,36.395766103691656
0.07809015625000057,943730.3458898241,36.395766103691656
0.07967317986111169,943412.2656370096,36.395766103691656
0.0812562034722228,943097.552771338,36.395766103691656
0.08283922708333392,942786.2134601909,36.395766103691656
0.08442225069444503,942478.2539988696,36.395766103691656
0.08600527430555616,942173.6807844188,36.395766103691656
0.08758829791666728,941870.6085089879,36.395766103691656
0.08917132152777839,941570.9714572472,36.395766103691656
0.09075434513888951,941276.6391132544,36.395766103691656
0.09233736875000065,940985.7191320288,36.395766103691656
0.09392039236111174,940698.2179798748,36.395766103691656
0.09550341597222284,940414.1420422668,36.395766103691656
0.09708643958333397,940133.4975910223,36.395766103691656
