wave,sigma_ppm
2.5257229181025584,538.4264173050443
2.5267264505367266,538.271678459514
2.527729982970895,537.5086526141777
2.5287335154050634,536.5075605153984
2.529737047839231,535.5913479986899
2.5307405802733998,535.011760490551
2.531744112707568,534.8991107315103
2.532747645141736,534.9556598489728
2.5337511775759047,534.0067507045507
2.534754710010073,533.3648904072096
2.535758242444241,532.8823132986181
2.5367617748784093,532.5982779213945
2.5377653073125774,531.9741686342692
2.538768839746746,532.5686078753222
2.5397723721809142,535.1870694908929
2.5407759046150824,540.114293680548
2.5417794370492506,542.0133353646683
2.5427829694834188,534.4819128121655
2.5437865019175874,529.9336909072872
2.5447900343517555,528.175229702384
2.5457935667859237,528.56369975958
2.546797099220092,530.1264507106109
2.5478006316542605,529.6367214817222
2.5488041640884287,527.8049076559755
2.5498076965225973,527.2642227457235
2.550811228956765,529.3347720485281
2.5518147613909337,531.1256080245132
2.552818293825102,529.7530434047022
2.55382182625927,526.6871419791369
2.5548253586934386,525.841666339874
2.5558288911276064,526.3848121267944
2.556832423561775,526.5003778656762
2.557835955995943,524.3868823916822
2.5588394884301113,522.7651851879043
2.55984302086428,524.5505743579112
2.5608465532984477,526.3091440657674
2.5618500857326163,527.2726977424095
2.5628536181667845,525.4930200172794
2.5638571506009527,523.8696994935547
2.5648606830351213,523.0660598976859
2.565864215469289,522.2619150778597
2.5668677479034576,522.1938476867942
2.567871280337626,521.487699794013
2.568874812771794,521.3673538560456
2.5698783452059626,522.1398036320309
2.5708818776401303,521.5938062093794
2.571885410074299,520.6109955940129
2.572888942508467,520.6689465748943
2.5738924749426353,520.8273124820968
2.574896007376804,520.5805617495791
2.575899539810972,520.2368651460124
2.5769030722451403,520.6908193686595
2.5779066046793084,521.1271216793979
2.5789101371134766,520.6305922683542
2.5799136695476452,521.6236564303792
2.5809172019818134,523.9898310270348
2.5819207344159816,525.5009261287727
2.5829242668501498,525.2722149692895
2.583927799284318,525.1891415532016
2.5849313317184865,526.73269560792
2.5859348641526547,528.1771424236433
2.586938396586823,524.5124820312977
2.587941929020991,520.7293381821627
2.5889454614551597,519.2186756199279
2.589948993889328,518.338986670376
2.5909525263234965,517.4084602076205
2.591956058757664,517.7607500757885
2.592959591191833,518.1418353660866
2.593963123626001,517.880364016027
2.594966656060169,517.0084711150254
2.595970188494338,514.6861294176675
2.5969737209285055,512.0786452191422
2.597977253362674,510.2596252761638
2.5989807857968423,509.42522558482204
2.5999843182310105,508.5245154444816
2.600987850665179,507.1827092653331
2.601991383099347,505.9019485980661
2.6029949155335155,505.29466596335106
2.6039984479676836,505.3042476181577
2.605001980401852,504.54212381349964
2.6060055128360204,503.24705940179535
2.607009045270188,502.5784000739195
2.608012577704357,502.1061267350799
2.609016110138525,501.79882103727186
2.610019642572693,500.9273101758747
2.6110231750068618,500.3021155881105
2.6120267074410295,500.34190805522553
2.613030239875198,499.8426629266547
2.6140337723093663,499.5402076599308
2.6150373047435345,499.8212462329518
2.616040837177703,500.7708968034552
2.617044369611871,501.51080484002523
2.6180479020460394,502.04741107409103
2.6190514344802076,502.4625375791421
2.620054966914376,502.89587051745553
2.6210584993485444,503.78373701269953
2.6220620317827126,506.28773045200955
2.6230655642168808,507.7967779478315
2.624069096651049,508.68860162474317
2.625072629085217,512.0956333893041
2.6260761615193857,511.43764033821253
2.627079693953554,506.2362986290178
2.628083226387722,502.7807346723799
2.6290867588218902,501.8459713324264
2.630090291256059,501.5066556309434
2.631093823690227,500.74736703487855
2.632097356124395,499.4394261007585
2.6331008885585634,499.1389628665997
2.634104420992732,499.17345508907573
2.6351079534269,498.9676081713644
2.6361114858610684,498.9965023044196
2.637115018295237,500.0317249128557
2.6381185507294047,502.4527170252062
2.6391220831635733,507.4538346777446
2.6401256155977415,508.0290562547733
2.6411291480319097,503.49801123964585
2.6421326804660783,501.5003878394355
2.643136212900246,500.3209328970488
2.6441397453344146,499.85854491391257
2.645143277768583,499.573196243977
2.646146810202751,499.47364669045544
2.6471503426369196,499.5488316237613
2.6481538750710873,498.9546900642855
2.649157407505256,498.18545627809357
2.650160939939424,498.1009025429298
2.6511644723735923,498.98372431346667
2.652168004807761,499.25203411663244
2.6531715372419287,499.7806563591199
2.6541750696760973,502.2542119074522
2.6551786021102655,502.00758766578133
2.6561821345444336,499.3253817561127
2.6571856669786023,497.5102422398448
2.65818919941277,497.18896692957156
2.6591927318469386,497.79152463885003
2.660196264281107,498.8358599567923
2.661199796715275,499.7155560699083
2.6622033291494436,501.2092024595455
2.6632068615836118,501.28665049726754
2.66421039401778,502.1493338527202
